Date,Point,Qual
01/01/2014 0:01,7.940,1
01/01/2014 0:16,7.940,1
01/01/2014 0:31,7.960,1
01/01/2014 0:46,7.950,1
01/01/2014 1:01,7.940,1
01/01/2014 1:16,7.870,1
01/01/2014 1:31,7.890,1
01/01/2014 1:46,7.890,1
01/01/2014 2:01,7.900,1
01/01/2014 2:16,7.910,1
01/01/2014 2:31,7.900,1
01/01/2014 2:46,7.900,1
01/01/2014 3:01,7.900,1
01/01/2014 3:16,7.890,1
01/01/2014 3:31,7.910,1
01/01/2014 3:46,7.900,1
01/01/2014 4:01,7.880,1
01/01/2014 4:16,7.870,1
01/01/2014 4:31,7.870,1
01/01/2014 4:46,7.860,1
01/01/2014 5:01,7.850,1
01/01/2014 5:16,7.850,1
01/01/2014 5:31,7.850,1
01/01/2014 5:46,7.830,1
01/01/2014 6:01,7.830,1
01/01/2014 6:16,7.820,1
01/01/2014 6:31,7.820,1
01/01/2014 6:46,7.810,1
01/01/2014 7:01,7.800,1
01/01/2014 7:16,7.800,1
01/01/2014 7:31,7.810,1
01/01/2014 7:46,7.800,1
01/01/2014 8:01,7.800,1
01/01/2014 8:16,7.800,1
01/01/2014 8:31,7.810,1
01/01/2014 8:46,7.810,1
01/01/2014 9:01,7.810,1
01/01/2014 9:16,7.810,1
01/01/2014 9:31,7.820,1
01/01/2014 9:46,7.830,1
01/01/2014 10:01,7.830,1
01/01/2014 10:16,7.830,1
01/01/2014 10:31,7.830,1
01/01/2014 10:46,7.840,1
01/01/2014 11:01,7.850,1
01/01/2014 11:16,7.840,1
01/01/2014 11:31,7.840,1
01/01/2014 11:46,7.830,1
01/01/2014 12:01,7.830,1
01/01/2014 12:16,7.810,1
01/01/2014 12:31,7.810,1
01/01/2014 12:46,7.810,1
01/01/2014 13:01,7.810,1
01/01/2014 13:16,7.810,1
01/01/2014 13:31,7.810,1
01/01/2014 13:46,7.810,1
01/01/2014 14:01,7.830,1
01/01/2014 14:16,7.850,1
01/01/2014 14:31,7.900,1
01/01/2014 14:46,7.950,1
01/01/2014 15:01,7.940,1
01/01/2014 15:16,7.930,1
01/01/2014 15:31,7.940,1
01/01/2014 15:46,7.920,1
01/01/2014 16:01,7.940,1
01/01/2014 16:16,7.960,1
01/01/2014 16:31,7.970,1
01/01/2014 16:46,7.970,1
01/01/2014 17:01,7.970,1
01/01/2014 17:16,7.970,1
01/01/2014 17:31,7.960,1
01/01/2014 17:46,7.960,1
01/01/2014 18:01,7.950,1
01/01/2014 18:16,7.940,1
01/01/2014 18:31,7.930,1
01/01/2014 18:46,7.920,1
01/01/2014 19:01,7.920,1
01/01/2014 19:16,7.930,1
01/01/2014 19:31,7.940,1
01/01/2014 19:46,7.940,1
01/01/2014 20:01,7.940,1
01/01/2014 20:16,7.950,1
01/01/2014 20:31,7.940,1
01/01/2014 20:46,7.920,1
01/01/2014 21:01,7.910,1
01/01/2014 21:16,7.900,1
01/01/2014 21:31,7.890,1
01/01/2014 21:46,7.880,1
01/01/2014 22:01,7.890,1
01/01/2014 22:16,7.890,1
01/01/2014 22:31,7.890,1
01/01/2014 22:46,7.880,1
01/01/2014 23:01,7.880,1
01/01/2014 23:16,7.870,1
01/01/2014 23:31,7.880,1
01/01/2014 23:46,7.850,1
01/02/2014 0:01,7.820,1
01/02/2014 0:16,7.820,1
01/02/2014 0:31,7.840,1
01/02/2014 0:46,7.840,1
01/02/2014 1:01,7.830,1
01/02/2014 1:16,7.810,1
01/02/2014 1:31,7.810,1
01/02/2014 1:46,7.820,1
01/02/2014 2:01,7.820,1
01/02/2014 2:16,7.830,1
01/02/2014 2:31,7.830,1
01/02/2014 2:46,7.820,1
01/02/2014 3:01,7.830,1
01/02/2014 3:16,7.830,1
01/02/2014 3:31,7.830,1
01/02/2014 3:46,7.830,1
01/02/2014 4:01,7.820,1
01/02/2014 4:16,7.810,1
01/02/2014 4:31,7.810,1
01/02/2014 4:46,7.790,1
01/02/2014 5:01,7.800,1
01/02/2014 5:16,7.800,1
01/02/2014 5:31,7.800,1
01/02/2014 5:46,7.800,1
01/02/2014 6:01,7.800,1
01/02/2014 6:16,7.800,1
01/02/2014 6:31,7.800,1
01/02/2014 6:46,7.800,1
01/02/2014 7:01,7.790,1
01/02/2014 7:16,7.810,1
01/02/2014 7:31,7.810,1
01/02/2014 7:46,7.810,1
01/02/2014 8:01,7.810,1
01/02/2014 8:16,7.810,1
01/02/2014 8:31,7.810,1
01/02/2014 8:46,7.810,1
01/02/2014 9:01,7.810,1
01/02/2014 9:16,7.820,1
01/02/2014 9:31,7.840,1
01/02/2014 9:46,7.870,1
01/02/2014 10:01,7.870,1
01/02/2014 10:16,7.880,1
01/02/2014 10:31,7.890,1
01/02/2014 10:46,7.900,1
01/02/2014 11:01,7.900,1
01/02/2014 11:16,7.900,1
01/02/2014 11:31,7.900,1
01/02/2014 11:46,7.900,1
01/02/2014 12:01,7.900,1
01/02/2014 12:16,7.910,1
01/02/2014 12:31,7.890,1
01/02/2014 12:46,7.880,1
01/02/2014 13:01,7.880,1
01/02/2014 13:16,7.880,1
01/02/2014 13:31,7.890,1
01/02/2014 13:46,7.880,1
01/02/2014 14:01,7.870,1
01/02/2014 14:16,7.870,1
01/02/2014 14:31,7.870,1
01/02/2014 14:46,7.920,1
01/02/2014 15:01,7.920,1
01/02/2014 15:16,7.950,1
01/02/2014 15:31,7.950,1
01/02/2014 15:46,7.950,1
01/02/2014 16:01,7.940,1
01/02/2014 16:16,7.950,1
01/02/2014 16:31,7.950,1
01/02/2014 16:46,7.940,1
01/02/2014 17:01,7.940,1
01/02/2014 17:16,7.930,1
01/02/2014 17:31,7.930,1
01/02/2014 17:46,7.940,1
01/02/2014 18:01,7.930,1
01/02/2014 18:16,7.910,1
01/02/2014 18:31,7.900,1
01/02/2014 18:46,7.900,1
01/02/2014 19:01,7.910,1
01/02/2014 19:16,7.910,1
01/02/2014 19:31,7.920,1
01/02/2014 19:46,7.920,1
01/02/2014 20:01,7.920,1
01/02/2014 20:16,7.940,1
01/02/2014 20:31,7.940,1
01/02/2014 20:46,7.920,1
01/02/2014 21:01,7.930,1
01/02/2014 21:16,7.900,1
01/02/2014 21:31,7.920,1
01/02/2014 21:46,7.950,1
01/02/2014 22:01,7.950,1
01/02/2014 22:16,7.940,1
01/02/2014 22:31,7.910,1
01/02/2014 22:46,7.870,1
01/02/2014 23:01,7.800,1
01/02/2014 23:16,7.790,1
01/02/2014 23:31,7.800,1
01/02/2014 23:46,7.800,1
01/03/2014 0:01,7.800,1
01/03/2014 0:16,7.810,1
01/03/2014 0:31,7.810,1
01/03/2014 0:46,7.810,1
01/03/2014 1:01,7.810,1
01/03/2014 1:16,7.820,1
01/03/2014 1:31,7.810,1
01/03/2014 1:46,7.820,1
01/03/2014 2:01,7.830,1
01/03/2014 2:16,7.880,1
01/03/2014 2:31,7.880,1
01/03/2014 2:46,7.850,1
01/03/2014 3:01,7.840,1
01/03/2014 3:16,7.850,1
01/03/2014 3:31,7.870,1
01/03/2014 3:46,7.930,1
01/03/2014 4:01,7.950,1
01/03/2014 4:16,7.950,1
01/03/2014 4:31,7.900,1
01/03/2014 4:46,7.900,1
01/03/2014 5:01,7.920,1
01/03/2014 5:16,7.920,1
01/03/2014 5:31,7.920,1
01/03/2014 5:46,7.930,1
01/03/2014 6:01,7.920,1
01/03/2014 6:16,7.910,1
01/03/2014 6:31,7.910,1
01/03/2014 6:46,7.900,1
01/03/2014 7:01,7.900,1
01/03/2014 7:16,7.920,1
01/03/2014 7:31,7.930,1
01/03/2014 7:46,7.940,1
01/03/2014 8:01,7.930,1
01/03/2014 8:16,7.960,1
01/03/2014 8:31,7.960,1
01/03/2014 8:46,7.970,1
01/03/2014 9:01,7.960,1
01/03/2014 9:16,7.960,1
01/03/2014 9:31,7.940,1
01/03/2014 9:46,7.940,1
01/03/2014 10:01,7.940,1
01/03/2014 10:16,7.940,1
01/03/2014 10:31,7.940,1
01/03/2014 10:46,7.930,1
01/03/2014 11:01,7.930,1
01/03/2014 11:16,7.930,1
01/03/2014 11:31,7.960,1
01/03/2014 11:46,7.970,1
01/03/2014 12:01,7.970,1
01/03/2014 12:16,7.970,1
01/03/2014 12:31,7.970,1
01/03/2014 12:46,7.980,1
01/03/2014 13:01,8.000,1
01/03/2014 13:16,8.020,1
01/03/2014 13:31,8.000,1
01/03/2014 13:46,7.990,1
01/03/2014 14:01,8.050,1
01/03/2014 14:16,8.090,1
01/03/2014 14:31,8.090,1
01/03/2014 14:46,8.060,1
01/03/2014 15:01,8.080,1
01/03/2014 15:16,8.100,1
01/03/2014 15:31,8.090,1
01/03/2014 15:46,8.060,1
01/03/2014 16:01,8.070,1
01/03/2014 16:16,8.070,1
01/03/2014 16:31,8.080,1
01/03/2014 16:46,8.060,1
01/03/2014 17:01,8.050,1
01/03/2014 17:16,8.050,1
01/03/2014 17:31,8.050,1
01/03/2014 17:46,8.050,1
01/03/2014 18:01,8.050,1
01/03/2014 18:16,8.030,1
01/03/2014 18:31,8.030,1
01/03/2014 18:46,8.020,1
01/03/2014 19:01,8.020,1
01/03/2014 19:16,8.020,1
01/03/2014 19:31,8.030,1
01/03/2014 19:46,8.050,1
01/03/2014 20:01,8.060,1
01/03/2014 20:16,8.060,1
01/03/2014 20:31,8.040,1
01/03/2014 20:46,8.030,1
01/03/2014 21:01,8.020,1
01/03/2014 21:16,8.000,1
01/03/2014 21:31,8.020,1
01/03/2014 21:46,8.010,1
01/03/2014 22:01,8.000,1
01/03/2014 22:16,7.980,1
01/03/2014 22:31,7.930,1
01/03/2014 22:46,7.850,1
01/03/2014 23:01,7.790,1
01/03/2014 23:16,7.780,1
01/03/2014 23:31,7.790,1
01/03/2014 23:46,7.800,1
01/04/2014 0:01,7.820,1
01/04/2014 0:16,7.890,1
01/04/2014 0:31,7.890,1
01/04/2014 0:46,7.870,1
01/04/2014 1:01,7.870,1
01/04/2014 1:16,7.870,1
01/04/2014 1:31,7.880,1
01/04/2014 1:46,7.870,1
01/04/2014 2:01,7.870,1
01/04/2014 2:16,7.880,1
01/04/2014 2:31,7.890,1
01/04/2014 2:46,7.940,1
