Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-02-14,22,18,17,22,25,36,31,32,30,32,31,29,30,27,21,18,19,15,15,18,18,19,14,9,
15026,Fine Particulate Matter,2013-02-15,5,3,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,3,4,5,4,4,5,5,
15026,Fine Particulate Matter,2013-02-16,5,6,6,7,7,6,5,4,4,4,2,2,3,3,3,3,4,5,7,14,12,15,10,9,
15026,Fine Particulate Matter,2013-02-17,9,8,5,4,4,4,5,5,5,4,3,2,2,2,2,3,7,5,5,4,4,5,5,4,
15026,Fine Particulate Matter,2013-02-18,4,5,5,5,6,8,7,7,5,3,3,5,6,7,7,7,8,10,11,10,11,11,11,11,
15026,Fine Particulate Matter,2013-02-19,11,13,13,14,13,11,12,9,9,13,23,22,18,11,9,9,8,6,6,6,6,6,4,3,
15026,Fine Particulate Matter,2013-02-20,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,3,4,
15026,Fine Particulate Matter,2013-02-21,3,4,3,2,4,4,3,3,4,12,4,4,4,3,3,2,3,3,9,8,8,7,11,10,
15026,Fine Particulate Matter,2013-02-22,12,13,15,15,16,15,14,13,13,10,8,9,7,6,5,4,4,6,7,8,11,18,31,28,
15026,Fine Particulate Matter,2013-02-23,23,15,16,16,16,17,15,14,11,8,7,6,6,7,9,9,11,12,13,14,14,17,18,18,
15026,Fine Particulate Matter,2013-02-24,18,17,17,18,15,14,17,16,15,13,13,13,11,12,8,11,11,11,15,23,23,19,18,20,
15026,Fine Particulate Matter,2013-02-25,20,22,20,18,15,15,17,19,17,12,10,7,3,3,3,3,4,6,8,11,12,14,20,24,
15026,Fine Particulate Matter,2013-02-26,24,23,21,18,14,13,11,11,11,12,16,18,18,19,16,16,15,14,14,15,14,10,7,4,
15026,Fine Particulate Matter,2013-02-27,2,2,3,3,3,4,3,3,4,5,5,5,5,6,8,8,7,9,11,10,9,9,9,9,
15026,Fine Particulate Matter,2013-02-28,9,10,10,10,9,8,9,10,15,21,16,4,2,2,2,3,3,5,4,3,3,3,3,4,
15026,Fine Particulate Matter,2013-03-01,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,4,5,5,6,6,5,5,5,5,
15026,Fine Particulate Matter,2013-03-02,5,4,4,4,4,4,4,4,5,5,4,5,4,6,4,4,4,5,7,7,8,6,7,6,
15026,Fine Particulate Matter,2013-03-03,6,7,6,4,4,4,4,4,4,5,6,6,8,7,5,5,6,4,5,3,3,4,3,3,
15026,Fine Particulate Matter,2013-03-04,3,3,2,2,3,5,5,5,6,7,9,11,9,6,5,4,5,8,7,8,7,6,5,3,
15026,Fine Particulate Matter,2013-03-05,3,5,7,7,9,12,12,20,20,6,5,5,5,5,9999,9999,11,13,17,10,8,8,10,8,
15026,Fine Particulate Matter,2013-03-06,8,9,9,8,10,11,12,12,12,13,13,13,12,12,11,13,15,16,18,18,13,9,5,5,
15026,Fine Particulate Matter,2013-03-07,7,8,19,27,29,29,28,18,8,6,8,9,5,3,2,3,3,3,7,4,3,3,2,2,
15026,Fine Particulate Matter,2013-03-08,3,3,4,4,4,4,6,13,9,6,6,5,7,5,4,6,8,9,14,14,16,16,14,16,
15026,Fine Particulate Matter,2013-03-09,13,9,8,9,10,11,13,15,22,10,7,6,6,8,7,7,8,6,4,5,5,7,8,10,
15026,Fine Particulate Matter,2013-03-10,12,13,-999,-999,13,12,7,6,6,8,6,8,11,14,18,20,22,24,25,27,28,30,28,24,
15026,Fine Particulate Matter,2013-03-11,13,8,6,8,10,12,14,12,14,13,11,13,11,11,11,11,11,10,10,10,10,9,9,12,
15026,Fine Particulate Matter,2013-03-12,11,10,9,8,13,12,11,13,15,14,11,9,5,6,5,6,7,10,12,10,9,9,9,9,
